Customer_ID,Recency,Frequency,Monetary,Segment,Segment_Label
CUST-0001,112,6,440.726,2,Low Value
CUST-0002,132,6,1632.871,3,Loyal
CUST-0003,38,9,1944.2,0,Champions
CUST-0004,11,6,1164.644,3,Loyal
CUST-0005,44,8,1884.065,3,Loyal
CUST-0007,133,8,952.3679999999999,3,Loyal
CUST-0008,156,10,2452.1752500000002,0,Champions
CUST-0009,109,4,475.61199999999997,2,Low Value
CUST-0010,223,6,666.457,1,At Risk
CUST-0011,308,5,1052.703,1,At Risk
CUST-0012,49,15,3334.958,0,Champions
CUST-0013,288,8,2509.821,0,Champions
CUST-0014,121,9,1920.5230000000001,0,Champions
CUST-0015,262,4,657.124,1,At Risk
CUST-0016,114,6,798.018,2,Low Value
CUST-0017,10,10,1495.6,3,Loyal
CUST-0018,33,2,449.36800000000005,2,Low Value
CUST-0019,193,7,1399.074,3,Loyal
CUST-0020,44,9,2166.97625,0,Champions
CUST-0021,47,12,2507.1459999999997,0,Champions
CUST-0022,25,7,1583.311,3,Loyal
CUST-0023,74,6,1139.996,3,Loyal
CUST-0024,8,6,655.752,2,Low Value
CUST-0025,39,8,1903.0900000000001,3,Loyal
CUST-0026,52,6,1197.888,3,Loyal
CUST-0027,64,6,1559.199,3,Loyal
CUST-0028,11,9,2451.197,0,Champions
CUST-0029,120,6,1598.2530000000002,3,Loyal
CUST-0030,64,7,1766.882,3,Loyal
CUST-0031,181,5,875.059,2,Low Value
CUST-0032,103,5,748.2199999999999,2,Low Value
CUST-0033,273,2,327.159,1,At Risk
CUST-0034,97,3,384.474,2,Low Value
CUST-0035,121,8,1668.658,3,Loyal
CUST-0036,197,4,1114.147,2,Low Value
CUST-0037,10,6,1919.303125,3,Loyal
CUST-0038,91,6,890.017,2,Low Value
CUST-0039,135,10,2630.164,0,Champions
CUST-0040,41,6,1848.833,3,Loyal
CUST-0041,20,10,2177.722,0,Champions
CUST-0042,5,8,1785.491,3,Loyal
CUST-0043,221,6,1314.789,3,Loyal
CUST-0044,213,5,1813.4299999999998,3,Loyal
CUST-0045,129,6,933.126,2,Low Value
CUST-0046,84,7,1244.777125,3,Loyal
CUST-0047,5,10,2423.88425,0,Champions
