Order_ID,Order_Date,Customer_ID,Category,Region,Sales,Quantity,Discount,Profit
ORD-0,2024-02-16 04:41:39.649824,CUST-0215,Office Supplies,North,115.23,10,0.0,84.17
ORD-1,2024-06-16 19:14:01.020510,CUST-0082,Furniture,West,224.49,7,0.1,1.97
ORD-2,2023-11-11 01:22:07.263631,CUST-0223,Furniture,South,378.47,10,0.0,89.83
ORD-3,2024-04-17 13:06:37.998999,,Office Supplies,South,989.9,2,0.0,9.72
ORD-4,2024-02-17 15:45:06.753376,CUST-0273,Office Supplies,West,215.62,4,0.1,-2.0
ORD-5,2024-02-04 20:59:54.597298,CUST-0014,Technology,South,28.73,11,0.0,4.18
ORD-6,2024-09-21 13:47:41.630815,CUST-0159,Office Supplies,East,462.75,6,0.0,-28.33
ORD-7,2024-01-17 06:00:54.027013,CUST-0152,TECH,West,272.6,3,0.0,-58.82
ORD-8,2024-08-21 04:03:28.904452,CUST-0108,TECH,South,351.25,3,0.0,-119.94
ORD-9,2023-02-14 04:29:24.882441,CUST-0188,Technology,West,35.35,6,,-33.28
ORD-10,2023-06-20 04:12:07.563781,CUST-0098,TECH,South,757.11,1,0.2,187.84
ORD-11,2024-03-28 02:18:18.549274,CUST-0131,Technology,East,434.87,14,0.0,58.7
ORD-12,2023-05-01 12:14:46.043021,CUST-0293,Office Supplies,East,231.59,1,0.3,141.85
ORD-13,2024-06-25 04:48:51.865932,CUST-0171,Furniture,South,421.46,5,0.1,10.91
ORD-14,2023-02-01 18:30:04.502251,CUST-0183,Office Supplies,East,72.96,1,0.3,1.9
ORD-15,2024-05-24 19:04:39.139569,CUST-0039,Office Supplies,,148.0,10,0.0,132.99
ORD-16,2024-02-15 02:24:04.322161,CUST-0015,furniture,South,153.38,8,0.1,52.55
ORD-17,2023-11-15 01:46:36.798399,CUST-0004,Office Supplies,East,49.36,2,0.3,-27.32
ORD-18,2024-09-08 01:30:45.922961,CUST-0210,furniture,West,496.08,6,0.0,67.98
ORD-19,2023-02-17 11:22:10.865432,CUST-0161,Technology,East,241.66,10,,105.05
ORD-20,2024-09-07 07:59:02.371185,CUST-0016,Furniture,West,465.86,10,0.3,-55.67
